180		Filled: 180 out of 180; 0 responses to go!	Filled: 4 out of 180; 176 responses to go!		Filled: 180 out of 180; 0 responses to go!		Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!		
170	Imagine there are two Singlish bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	M: Did anyone see that accident on the way here today?  W: I did. It was very scary.  M: Me too!			0						
171	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed Singlish sentence about traffic?	Traffic jam on the highway at night			0						
172	Assuming that you are an Singlish bilingual speaker, how would you write a natural Singlish code-mixed sentence about traffic?	An English driver crashed into my car while I was waiting for the green light. He said he didn't see me! But why did he drive on his phone when there is no mobile reception at this junction?!'			0						
173	Imitate the speaking style of a person who can speak Singlish in one sentence about traffic.	 			0						
174	Imagine that you are a Singaporean speaker. How would you talk about traffic using Singlish in a single sentence?	Traffic is heavy on the highway at 7:30 am			0						
175	Write an Singlish code-mixed sentence about weather.	the heavy rain and winds of thursday caused some flooding in several communities.			0						
176	Imagine there are two Singlish bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	Anon: You look very nice today! Ann: Thanks. Are those your new shoes in the picture above your head? I like how they match with that shirt you're wearing. Anon: Yes that's correct I'm wearing my favorite pair of black jeans and white T-shirt whose design was inspired from 1980s fashion styles when Pop stars like Michael Jackson and Madonna were at their peak popularity around the world..			0						
177	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed Singlish sentence about weather?	It's soaking wet outside but I can't hold out any longer, I'm going for it!			0						
178	Assuming that you are an Singlish bilingual speaker, how would you write a natural Singlish code-mixed sentence about weather?	It is raining cats and dogs in the northern region.			0						
179	Imitate the speaking style of a person who can speak Singlish in one sentence about weather.	Kiang chiang chiu', which is a colloquial Singaporean English phrase meaning 'It's been raining'			0	explanation					
180	Imagine that you are a Singaporean speaker. How would you talk about weather using Singlish in a single sentence?	I got wet when it rained today! 			0						
