180		Filled: 180 out of 180; 0 responses to go!	Filled: 54 out of 180; 126 responses to go!		Filled: 180 out of 180; 0 responses to go!		Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!		
161	Imitate the speaking style of a person who can speak Singlish in one sentence about Artificial Intelligence.	Crikey!			0						
162	Imagine that you are a Singaporean speaker. How would you talk about Artificial Intelligence using Singlish in a single sentence?	Artificial Intelligence (AI) is a computer science that aims to create intelligent machines that have human-like mental abilities.			0						
163	Write an Singlish code-mixed sentence about family.	I can imagine what it would be like to be in a family where someone might have to go to a hospital.			0						
164	Imagine there are two Singlish bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	W: When are you going to visit your brother?M: I'm going to see him on the weekend.			0						
165	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed Singlish sentence about family?	I love my family, even with all their bad moods...			0						
166	Assuming that you are an Singlish bilingual speaker, how would you write a natural Singlish code-mixed sentence about family?	Y aw y aw ah?			0						
167	Imitate the speaking style of a person who can speak Singlish in one sentence about family.	I'm gonna go home to see my family.			0						
168	Imagine that you are a Singaporean speaker. How would you talk about family using Singlish in a single sentence?	My family is my network.			0						
169	Write an Singlish code-mixed sentence about traffic.	Traffic is a problem with the bridge, but that's expected to be cleared soon.			0						
170	Imagine there are two Singlish bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	M: Have you heard about the new traffic light?W: Turn left, turn right!M: Seriously?! Why is that?W: The gov't thinks people are too stupid to notice the traffic light, so it wants to see people turning left at the traffic light.M: OMG! I thought it was hard for them to notice the junctions in Singapore!W: You're right. But it's worse than I thought!			0						
171	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed Singlish sentence about traffic?	Traffic was a little heavy today.			0						
172	Assuming that you are an Singlish bilingual speaker, how would you write a natural Singlish code-mixed sentence about traffic?	The traffic was backed up for miles.			0						
173	Imitate the speaking style of a person who can speak Singlish in one sentence about traffic.	The traffic was heavy, even for the night.			0						
174	Imagine that you are a Singaporean speaker. How would you talk about traffic using Singlish in a single sentence?	The traffic jam is getting worse.			0						
175	Write an Singlish code-mixed sentence about weather.	It is windy today.			0						
176	Imagine there are two Singlish bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	M: What does the weather look like today?W: Rainy, windy, and cold.			0						
177	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed Singlish sentence about weather?	The weather is nice today.			0						
178	Assuming that you are an Singlish bilingual speaker, how would you write a natural Singlish code-mixed sentence about weather?	The weather is sunny.			0						
179	Imitate the speaking style of a person who can speak Singlish in one sentence about weather.	The weather be goin' down.			0						
180	Imagine that you are a Singaporean speaker. How would you talk about weather using Singlish in a single sentence?	It's getting colder.			0						
