180		Filled: 180 out of 180; 0 responses to go!	Filled: 10 out of 180; 170 responses to go!		Filled: 180 out of 180; 0 responses to go!		Filled: 28 out of 180; 152 responses to go!	Filled: 0 out of 180; 180 responses to go!	Filled: 0 out of 180; 180 responses to go!		
131	Imitate the speaking style of a person who can speak English and Vietnamese in one sentence about Artificial Intelligence.	"Thông minh nhân tạo đang biến mất bản chất của con người và mở ra đến tương lai mới, đầy kỳ quái và hiện đại."			0						
132	Imagine that you are a Vietnamese speaker. How would you talk about Artificial Intelligence using both English and Vietnamese in a single sentence?	"Tôi biết rằng trí tuệ nhân tạo là một mảng khá phức tạp, nhưng tôi hiểu rằng Artificial Intelligence là một phần quan trọng trong bối cảnh toàn cầu."			0.5		vietnamese				
133	Write an English and Vietnamese code-mixed sentence about family.	My family đã đi bộ trong những hạnh phúc và ân hận của nhau mãi mãi.			1		vietnamese				
134	Imagine there are two English-Vietnamese bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	English-Vietnamese bilingual speaker 1: Chào anh. Chúng tôi có thể nói về gia đình của chúng ta không?    English-Vietnamese bilingual speaker 2: Chắc chắn rồi! Tôi thích nói về bố mẹ và các anh chị em của tôi. H			0						
135	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Vietnamese sentence about family?	"Tôi yêu gia đình tôi" (I love my family).			0						
136	Assuming that you are an English-Vietnamese bilingual speaker, how would you write a natural English-Vietnamese code-mixed sentence about family?	"Chúng tôi rất được yêu thương nhau trong gia đình của chúng ta." (We are very much loved in our family.)			0						
137	Imitate the speaking style of a person who can speak English and Vietnamese in one sentence about family.	"My family is so important to me - tôi rất quan trọng gia đình của tôi!"			0						
138	Imagine that you are a Vietnamese speaker. How would you talk about family using both English and Vietnamese in a single sentence?	"My family is tôi gia đình của tôi rất điềm tĩnh."			0						
139	Write an English and Vietnamese code-mixed sentence about traffic.	Traffic có thể khá ồn ào ở đây.			1		vietnamese				
140	Imagine there are two English-Vietnamese bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	Person A: Diễn ra những gì về tình trạng giao thông? (What's the traffic like?)   Person B: Tại đây luôn luôn là đông đúc, nhưng hôm nay tốt hơn thường (It's usually busy here, but it's better today than usual.)			0						
141	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Vietnamese sentence about traffic?	"Tôi thích đi xe máy để tránh giờ cao điềm của giao thông đông đúc" - I like riding my motorcycle to avoid the rush hour traffic.			0						
142	Assuming that you are an English-Vietnamese bilingual speaker, how would you write a natural English-Vietnamese code-mixed sentence about traffic?	"Việc giao thông trên đường phố là thực sự trafficy!"			1		vietnamese				
143	Imitate the speaking style of a person who can speak English and Vietnamese in one sentence about traffic.	"I'm stuck in traffic, rất rối roắn!"			0		english				
144	Imagine that you are a Vietnamese speaker. How would you talk about traffic using both English and Vietnamese in a single sentence?	Traffic có rất nhiều xe ở đây, chậm quá! ("Traffic is really congested here!")			1		vietnamese				
145	Write an English and Vietnamese code-mixed sentence about weather.	"It's really hot in Vietnam today, không ở đâu có mát mẻ nhỉ?"			0		english				
146	Imagine there are two English-Vietnamese bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	Speaker 1: "Hồi trước tôi đi dã ngoại nhớ ra chủ nhật thời tiết đẹp quá!"   Speaker 2: "Hai ngày qua trời mưa non rồi sao ấy?"   Speaker 1: "Vâng, giờ thay đổi			0						
147	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed English-Vietnamese sentence about weather?	It's so hot nóng quất nhẹ lực today!			2		english				
148	Assuming that you are an English-Vietnamese bilingual speaker, how would you write a natural English-Vietnamese code-mixed sentence about weather?	"Vào buổi sáng nay thời tiết nắng quang đẹp đẽ như trong những bức tranh đẹp nhất của năm!"			0						
149	Imitate the speaking style of a person who can speak English and Vietnamese in one sentence about weather.	"It's sunny today, mà hôm nay có nắng đẹp!"			0		english				
150	Imagine that you are a Vietnamese speaker. How would you talk about weather using both English and Vietnamese in a single sentence?	I'm sure the weather today is beautiful, thời tiết hôm nay có vẻ rất đẹp.			0						
151	Write an Singlish code-mixed sentence about food.	Ahboy wat aiya wan eat liao, mehbodis wanna go Teh Tarik stall and makan nia.	1	Not sure where "mehbodis" comes from, not Singlish	2						
152	Imagine there are two Singlish bilingual speakers talking to each other, can you imagine a conversation between them talking about food?	Person A: Wah, your curry chicken so Mada sia!   Person B: Then you haf to try my mum's mee siam, so shiok leh!   Person A: Eh, very messi ah? Who buy for you?   Person B: My mum lah. She bought it from the Mamak stall. Wa say it so worth it!   Person A: Then later I come your place la, want to try your mum's mee siam.   Person B: Sure lah! Come come, but you must also eat my mum			2						
153	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed Singlish sentence about food?	"Lah, the chicken rice here hor so shiok one!"	1	"lah" is Singlish but the placement of it in this sentence is very very weird	2						
154	Assuming that you are an Singlish bilingual speaker, how would you write a natural Singlish code-mixed sentence about food?	"Aiyoh, geram siah I'm so hungry nah lah, let's get some hawker fried bihun liao!"	1	"geram" is a Malay word but not lexicalized into Singlish (based on native speaker intuition and also this page which documents Singlish: http://www.mysmu.edu/faculty/jacklee/)	2						
155	Imitate the speaking style of a person who can speak Singlish in one sentence about food.	I goleh makan "char kway teow" sia!	1	"goleh" is a Malay word but doesn't make sense in this context and also isn't Singlish	2						
156	Imagine that you are a Singaporean speaker. How would you talk about food using Singlish in a single sentence?	"Hawker food so shiok ler!"			2						
157	Write an Singlish code-mixed sentence about Artificial Intelligence.	"AI Luo Kucing Also Can Think Smart One leh!"	1	idk what is "Luo Kucing"	2						
158	Imagine there are two Singlish bilingual speakers talking to each other, can you imagine a conversation between them talking about Artificial Intelligence?	Speaker 1: Eh, have you heard about robot la? They say all our jobs gonna disappear, AI sure advanced lah these days.    Speaker 2: Ai ya, this Artificial Intelligence is so frightening! But then again, can trust AI better than human lah. You know, robots never make mistake one.    Speaker 1: Then they sure replace us one day. Wonder what kind of life we leading then, when all the jobs taken by robots…    Speaker 2: Don't know lah! But I sure can think of many different types of occupations robots still			2						
159	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed Singlish sentence about Artificial Intelligence?	Aiyah, AI so sian lah, can be so useful but also so bo liao one.			2						
160	Assuming that you are an Singlish bilingual speaker, how would you write a natural Singlish code-mixed sentence about Artificial Intelligence?	"Woah, AI is really sophisticated leh! Mindblowing!"			2						
161	Imitate the speaking style of a person who can speak Singlish in one sentence about Artificial Intelligence.	AI wah, so powerful already lah!			2						
162	Imagine that you are a Singaporean speaker. How would you talk about Artificial Intelligence using Singlish in a single sentence?	AI really sabo-ing us lor!			2						
163	Write an Singlish code-mixed sentence about family.	We Singaporeans lah, family always first!			2						
164	Imagine there are two Singlish bilingual speakers talking to each other, can you imagine a conversation between them talking about family?	Speaker 1: Wah, I heard my ol’ bro married already! Speaker 2: Oh, that fast arh? You know who he marriarr or not? Speaker 1: My ah ma said he marriarr some malay girl, so very happy. Speaker 2: What a surprise! So happy ah ha. That means now your family longer got ah? Speaker 1: Yeah lah, now my family members all more still. We have ah ma, ah gong, her husband, my ol’ bro and his wife, my sistarr and			2						
165	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed Singlish sentence about family?	My family ok-lah, we always chit-chat and teh-tarik during the weekend ah!			2						
166	Assuming that you are an Singlish bilingual speaker, how would you write a natural Singlish code-mixed sentence about family?	"My family always supports and encourages me no matter wat, even though we have always had some ikan bilis level of arguments here and there. #FamilyFirst."			2						
167	Imitate the speaking style of a person who can speak Singlish in one sentence about family.	"My family lah, we so close, can go anywhere together one!"			2						
168	Imagine that you are a Singaporean speaker. How would you talk about family using Singlish in a single sentence?	"Ah Soo, can you tell your siblings to come back home liaoz, our ah-ma really miss them la!"			2						
169	Write an Singlish code-mixed sentence about traffic.	"Eh, de traffic today super kong already sia, must kiasu go earlier lah!"			2						
170	Imagine there are two Singlish bilingual speakers talking to each other, can you imagine a conversation between them talking about traffic?	Speaker 1: "Eh, traffic was gong gong today. Not sure if I get home early or not."   Speaker 2: "Yah, no choice lah. Got so many accidents on the highway. Don't think I can take another route."   Speaker 1: "Mm. Too bad. If only can get the train instead."   Speaker 2: "Yah. Nowadays alleverywhere jam. So much safer to take the train, at least can sit back and relax."			2						
171	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed Singlish sentence about traffic?	"Jialat lah, traffic so giler today, we must jammeh one hour to reach our destination!"	1	"giler" and "jammeh" not really Singlish	2						
172	Assuming that you are an Singlish bilingual speaker, how would you write a natural Singlish code-mixed sentence about traffic?	"Was so jam leh, took me an hour to get out of the fancy-lak traffic!"			2						
173	Imitate the speaking style of a person who can speak Singlish in one sentence about traffic.	Eh, the traffic today so bad lah, so slow sia.			2						
174	Imagine that you are a Singaporean speaker. How would you talk about traffic using Singlish in a single sentence?	"Eh, trafik damn jialat lah today, waste my time alr."			2						
175	Write an Singlish code-mixed sentence about weather.	"So haa den, hor liddat the weather is veri heat ah?"	1	not sure what is "haa"	2						
176	Imagine there are two Singlish bilingual speakers talking to each other, can you imagine a conversation between them talking about weather?	Speaker 1: “Sien ah, it’s hot to the max today! Wah lau.”   Speaker 2: “Yah lah! So hot I feel like I’m gonna mai meelio one. What’s going on lor?”   Speaker 1: “Eh, must be the humidity. Everywhere so humid but still so hot. Makes no sense!”   Speaker 2: “Yah lah. Heard it’s gonna thunderstorm later. Hopefully it cools down a bit			2						
177	Code-mixing refers to a phenomenon of combining two or more languages in a single sentence. Can you generate a code-mixed Singlish sentence about weather?	It's raining cats and dogs siao lah!			2						
178	Assuming that you are an Singlish bilingual speaker, how would you write a natural Singlish code-mixed sentence about weather?	"Eh, this weather really leceh lah, so hot and humid like kena sapu with aluminium foil one!"			2						
179	Imitate the speaking style of a person who can speak Singlish in one sentence about weather.	It's so humid and hot lah, like can melt ice cubes one!			2						
180	Imagine that you are a Singaporean speaker. How would you talk about weather using Singlish in a single sentence?	"Wow, today so hot like chicken chop!"			0						
